رمز العملة,اسم العملة,سعر الصرف مقابل الدولار USD,التنسيق المالي الافتراضي
DZD,الدينار الجزائري,134.50,"#,##0.00 ""د.ج"""
SAR,الريال السعودي,3.7500,"#,##0.00 ""ر.س"""
AED,الدرهم الإماراتي,3.6725,"#,##0.00 ""د.إ"""
QAR,الريال القطري,3.6400,"#,##0.00 ""ر.ق"""
KWD,الدينار الكويتي,0.3100,"#,##0.000 ""د.ك"""
BHD,الدينار البحريني,0.3760,"#,##0.000 ""د.ب"""
OMR,الريال العماني,0.3845,"#,##0.000 ""ر.ع"""
EGP,الجنيه المصري,48.0000,"#,##0.00 ""ج.م"""
JOD,الدينار الأردني,0.7090,"#,##0.00 ""د.أ"""
TND,الدينار التونسي,3.1500,"#,##0.000 ""د.ت"""
MAD,الدرهم المغربي,9.9500,"#,##0.00 ""د.م"""
EUR,اليورو,0.9200,"#,##0.00 €"
USD,الدولار الأمريكي,1.0000,"#,##0.00 $"
GBP,الجنيه الإسترليني,0.7900,"#,##0.00 £"
